Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6, C73",0603,4,1u,CL10A105KB8NNNC
"C2, C3, C5, C68, C7",0402,5,100n,CL05B104KB54PNC
D1,SOT-23,1,SP0502BAHT,SP0502BAHT
F1,0603,1,0603L020YR,0603L020YR
"J1, J2",XB-PJ-1837,2,XB-PJ-1837,XB-PJ-1837
J3,TE_2328702-8_1x08-1MP_P0.5mm_Horizontal,1,2328702-8,2328702-8
J4,HS096T01H13,1,HS096T01H13,HS096T01H13
"Q2, Q3",SOT-563,2,DMC2400UV,DMC2400UV
"R1, R2",0805,2,62R,RC0805FR-0762RL
"R10, R13, R3, R4, R5, R6, R8, R9",0402,8,10k,0402WGF1002TCE
"R11, R12, R7",0402,3,10R,0402WGF100JTCE
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32L432KBUx,STM32L432KBU
U2,SOT-23-3,1,XC6206P332MR-G,XC6206P332MR-G
U3,DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm,1,SIT1050TK,SIT1050TK
