Designator,Mid X,Mid Y,Rotation,Layer
C1,6.0,-14.25,270.0,top
C2,3.0,-3.25,180.0,top
C3,11.0,1.0,90.0,top
C4,16.0,12.0,0.0,top
C5,24.75,8.5,90.0,top
C6,18.75,-0.755,180.0,top
C68,17.25,14.25,180.0,top
C7,2.75,11.75,180.0,top
C73,12.0,-14.25,90.0,top
D1,3.25,-14.25,180.0,top
F1,11.5,-11.75,180.0,top
J1,5.65,-7.5,270.0,bottom
J2,5.65,7.5,270.0,bottom
J3,20.25,3.5,0.0,top
J4,20.25,0.0,0.0,top
Q2,12.25,-1.75,0.0,top
Q3,3.0,-1.75,0.0,top
R1,4.0,1.0,90.0,top
R10,6.5,-2.75,270.0,top
R11,14.75,1.5,0.0,top
R12,14.75,2.5,0.0,top
R13,14.75,14.25,180.0,top
R2,2.0,1.0,270.0,top
R3,14.75,-1.0,180.0,top
R4,4.75,-1.75,270.0,top
R5,11.0,11.75,0.0,top
R6,6.75,11.75,180.0,top
R7,14.75,0.0,0.0,top
R8,24.75,6.5,90.0,top
R9,7.75,-2.75,90.0,top
U1,21.5,11.75,90.0,top
U2,9.0,-14.25,180.0,top
U3,8.0,1.0,90.0,top
